unique_id,category,scenario,initiating_actor,preconditions,exact_expected_flow,relevant_public_endpoint_or_event,expected_status_and_state_transition,idempotency_and_retry_behavior,security_authorization_boundary,current_implementation_status,certification_depth,direct_evidence,missing_work,production_risk,exact_test_needed_to_certify
UC-001,Onboarding,Provision a new POS partner and first location,Restec operator,Approved onboarding data and service-role access.,"Operator CLI validates input, generates API/request/webhook secrets, calls one transaction RPC, and prints secrets once.",CLI provision; RPC provision_pos_partner,Partner/restaurant/location/connection/key/webhook/profile inserted; credential active.,Retry only after checking generated IDs; RPC transaction is atomic but repeated explicit IDs conflict.,Service-role-only RPC; production requires --apply plus approval env.,PARTIALLY_IMPLEMENTED,unit tested,"scripts/provision-pos-partner.ts:64-96,119-182; supabase/migrations/20260802000100_pos_partner_credentials.sql:91-173; scripts/provision-pos-partner.test.ts:16",No Supabase integration test or retained production provisioning evidence.,high,Run on disposable sandbox DB; verify rollback on each injected insert failure and one-time secret handling.
UC-002,Onboarding,Provision another location for an existing partner,Restec operator,Approved onboarding data and service-role access.,"Operator can call provisioning again, but RPC also inserts a new restaurant and is not a dedicated add-location workflow.",CLI provision; RPC provision_pos_partner,New location/connection/key expected; existing partner insert is ignored.,Explicit IDs must be new; duplicate restaurant/location errors roll back.,Service role; environment encoded in rows.,PARTIALLY_IMPLEMENTED,not fully tested,supabase/migrations/20260802000100_pos_partner_credentials.sql:128-160; scripts/provision-pos-partner.ts:134-181,"Dedicated add-location path, scoped credential choice, and integration coverage.",high,Provision two locations under one restaurant/partner and verify independent connections/scopes.
UC-003,Onboarding,Rotate outbound POS webhook secret without dropping queued events,Restec operator,Approved onboarding data and service-role access.,No dual-secret or versioned webhook configuration runtime exists.,None,No supported state transition.,Undefined; queued events read current connector configuration.,Webhook secret is embedded in encrypted pos_connections configuration.,MISSING,not tested,packages/connectors/canonical-rest/src/index.ts:44-60; packages/database/src/supabase-repository.ts:264-282; docs/internal/POS_PARTNER_PRODUCTION_GAP_ASSESSMENT.md:18,"Versioned webhook secrets, overlap verification, event-to-secret binding, operator workflow.",critical,Queue events across rotation; accept old/new signatures in grace; prove no loss or wrong signature.
UC-004,Onboarding,Revoke an issued API credential,Restec operator,Approved onboarding data and service-role access.,Operator invokes revoke RPC by key prefix; auth stops selecting revoked rows.,CLI revoke; RPC revoke_pos_partner_credential,active/overlap -> revoked with revoked_at; later API call -> 401.,Repeat revoke returns false and CLI fails; no audit event.,"Service-role RPC, but CLI revoke lacks production approval guard.",PARTIALLY_IMPLEMENTED,unit tested indirectly,scripts/provision-pos-partner.ts:248-258; supabase/migrations/20260802000100_pos_partner_credentials.sql:221-242; packages/database/src/supabase-repository.ts:102-123,"Audit log, two-person production approval, integration test, partner notification.",high,Revoke active and overlap keys against Supabase; assert immediate 401 and immutable audit evidence.
UC-005,Topology,Select different POS vendor connectors per connection,Restec operator/POS partner,"Provisioned partner, locations and connections.",Registry resolves connector type/version; only canonical_rest and mock_pos exist.,Outbox dispatch -> ConnectorRegistry,Known enabled exact version dispatches; unknown/disabled/version mismatch retries then dead-letters.,Same outbox event retries with same event ID.,Connection/partner/environment context passed to connector.,PARTIALLY_IMPLEMENTED,unit and mock tested,packages/connector-registry/src/index.ts:4-14; packages/connector-registry/src/registry.test.ts:4; packages/connectors/mock-pos/src/index.ts:3-13,Real vendor connectors and certification per version.,high,"Install two real vendor fixtures; dispatch same canonical event; verify mappings, auth, retries."
UC-006,Topology,Multiple restaurants under one partner,Restec operator/POS partner,"Provisioned partner, locations and connections.",Schema supports it; provisioning workflow is create-oriented and no multi-restaurant integration test exists.,Operator provisioning RPC,Rows remain partner-linked through restaurant/location FKs.,DB uniqueness/FKs govern retries.,Service-role writes; runtime authorization joins restaurant.partner_id.,PARTIALLY_IMPLEMENTED,migration only,supabase/migrations/20260717000100_restec_foundation.sql:7-10; packages/database/src/supabase-repository.ts:245-263,Lifecycle/admin workflow and cross-restaurant tests.,medium,Create two restaurants and identical external bill IDs; prove tenant isolation and credential scopes.
UC-007,Topology,Multiple locations under one credential with location scopes,Restec operator/POS partner,"Provisioned partner, locations and connections.",Credential location scopes are checked before connection authorization and DB joins enforce partner/environment.,All /v1/locations/{id} routes,Allowed location continues; denied location -> 403.,Replay/idempotency records remain partner-wide; paths include location.,Credential location_scopes plus restaurant ownership.,IMPLEMENTED_NOT_FULLY_TESTED,unit tested,apps/api/src/auth.ts:77-83; apps/api/src/app.ts:124-134; apps/api/src/pos-partner.test.ts:188-252; supabase/migrations/20260802000100_pos_partner_credentials.sql:27-34,Supabase integration and multi-location concurrency test.,high,Use one key over two allowed and one denied locations; verify no cross-location reads/writes.
UC-008,Topology,Multiple POS terminals within a location,Restec operator/POS partner,"Provisioned partner, locations and connections.","No terminal entity, terminal credential scope, terminal ID, or terminal-to-payment attribution exists.",None,No state model.,Not defined.,Cannot authorize/isolate terminals.,MISSING,not tested,supabase/migrations/20260717000100_restec_foundation.sql:5-21; packages/contracts/src/index.ts:75-86,"Terminal model, scopes, attribution, collision rules, docs and tests.",high,Create two terminals posting same external payment ID; verify explicit uniqueness and attribution policy.
UC-009,Bill sync,Create version-1 bill,POS,"Valid credential, active connection/table mapping and signed JSON.",Auth -> table mapping -> version preflight -> private upsert -> atomic local projection.,PUT /v1/locations/{location}/bills/{bill},200; absent -> accepted bill state version 1.,Idempotency key caches response; request ID cannot repeat; same version/body replays.,bills:write and partner/location/environment binding.,IMPLEMENTED_AND_TESTED,mock integration tested,apps/api/src/app.ts:180-215; packages/database/src/supabase-repository.ts:304-348; apps/api/src/mock.e2e.test.ts:35,Remote Supabase/private sandbox certification.,high,Run signed request against sandbox DB/private service and verify one private/local bill.
UC-010,Bill sync,Update bill with higher version,POS,"Valid credential, active connection/table mapping and signed JSON.","Full snapshot is validated, forwarded, then persisted under row lock.",PUT bill,200; version n -> n+1 accepted.,Same key/body replays; stale or changed same version -> 409.,Same as UC-009.,IMPLEMENTED_AND_TESTED,mock integration tested,packages/database/src/supabase-repository.ts:321-348; supabase/migrations/20260722000200_fix_persist_restec_bill_state.sql:22-78; apps/api/src/mock.e2e.test.ts:99-155,Supabase integration test is skipped.,high,Execute concurrent n+1/n+2 updates and verify deterministic final version.
UC-011,Bill sync,Change items or quantities,POS,"Valid credential, active connection/table mapping and signed JSON.",Schema accepts full replacement when item arithmetic and subtotal remain consistent.,PUT bill,200 accepted or 422 field errors.,Bill version/idempotency rules apply.,Location/table mapping boundary.,IMPLEMENTED_NOT_FULLY_TESTED,unit tested,packages/contracts/src/index.ts:22-74; packages/contracts/src/contracts.test.ts:17-23,Targeted runtime tests for add/remove/quantity/name changes.,medium,"Upsert successive snapshots covering add, remove, quantity 1->10000, duplicate external item IDs."
UC-012,Bill sync,Reduce total after a payment,POS,"Valid credential, active connection/table mapping and signed JSON.","Bill revision and financial floor are reserved before downstream mutation; completed, active and ambiguous capacity is protected.",PUT bill,409 bill_financial_floor_conflict without a downstream write.,Same version and request hash reuse the revision reservation.,Connection location environment and bill scoped.,IMPLEMENTED_NOT_FULLY_TESTED,in-memory concurrency and migration source tested,apps/api/src/app.ts; apps/api/src/financial-concurrency.test.ts; supabase/migrations/20260807000100_financial_capacity_reservations.sql,Real PostgreSQL and delayed-downstream certification.,critical,Race reduction against payment on Supabase and prove no downstream loser.
UC-013,Charges,"Tax, discount, service charge and tip totals",POS,Bill upsert prerequisites.,Strict totals object is arithmetically reconciled against item subtotal.,PUT bill,200 when exact; 422 when inconsistent/negative/float.,Normal bill idempotency.,Schema rejects unknown total fields.,IMPLEMENTED_AND_TESTED,unit tested,packages/contracts/src/index.ts:44-73; packages/contracts/src/contracts.test.ts:17-23; openapi/restec-pos-partner-v1.yaml:346-355,Runtime permutations and tax jurisdiction policy.,medium,Property-test all total components and integer boundaries through public route.
UC-014,Charges,Line notes and bill metadata,POS,Bill upsert prerequisites.,Line notes <=500 and metadata <=8KB are accepted and forwarded.,PUT bill,200 or 422 on limits.,Normal bill idempotency.,Metadata is partner-controlled; size bounded.,IMPLEMENTED_NOT_FULLY_TESTED,schema tested,"packages/contracts/src/index.ts:18-31,54-55",Injection/logging/privacy tests and downstream round-trip evidence.,low,"Send Unicode, HTML, control characters, 500/501-char notes and 8KB boundary metadata."
UC-015,Charges,Structured modifiers and per-line allocations,POS,Bill upsert prerequisites.,Strict item schema rejects modifier arrays and per-line tax/discount.,PUT bill,422 invalid_request; no state transition.,Retry only after changing payload/new logical key.,Strict schema boundary.,EXPLICITLY_UNSUPPORTED,unit tested,packages/contracts/src/index.ts:22-32; packages/contracts/src/contracts.test.ts:25; docs/pos-partner/BILL_AND_ORDER_SYNC.md:16,Product contract if modifiers become financially material.,medium,Send supported/unsupported modifier payloads and assert deterministic rejection/no downstream call.
